Product_ID,Client_ID,Product_Code,Product_Desc,UOM,Packsize,Manufacturer,MRP,PTS,PTR,Narco_Product_limit,ProductFormId,Active,short_supply,BoxSize,ShortName,CreatedBy,CreatedOn,ModifiedBy,ModifiedOn,visiable_product_saleman,visiable_product_Retailer,ERPProductID,CategoryID,Category,molecular_id,P_ID,GST_PER,Manufacturer_Code,ED_MDM_Product_Code,ED_MDM_Product_Image,ED_MDM_Product_Document_Image,ED_MDM_Product_Creation_Time,Match
1697255,756,J0002111,A MAX CAPSULES 10^S,NULL,10'S,DERMAWIZ LAB  DERMA,155,108.5,108.5,0,NULL,1,0,NULL,AMAXCAP10S,NULL,15-05-2020 07:11,NULL,02/02/2023 11:41,1,1,1288440,0,NULL,NULL,117107987,NULL,1h,ED000157592,NULL,NULL,NULL,
1696011,756,J0002112,A PLUS TABLETS,NULL,,MEDLIFE GENETICS-LAM,230,0,155.9,,NULL,1,0,0,APLUSTAB,NULL,15-05-2020 07:09,NULL,05/05/2023 9:58,1,1,NULL,0,NULL,NULL,NULL,NULL,GXN,ED000148859,NULL,NULL,NULL,
1714647,756,J0002113,A TO Z GOLD CAPSULES NS 15CAPSULES,NULL,15CAP,ALKEM #M CARE#,210,142.37,142.39,0,NULL,1,0,NULL,ATOZGOLDCAPNS,NULL,15-05-2020 07:50,NULL,05/05/2023 9:58,1,1,1268495,0,NULL,NULL,117111597,NULL,BB,ED000000174,NULL,NULL,NULL,
1686756,756,J0002115,A TO Z GOLD CAPSULES 15^S,NULL,15'S,ALKEM ALTIS,210,128.14,142.37,0,NULL,1,0,NULL,ATOZGOLDCAPS,NULL,15-05-2020 06:55,NULL,05/05/2023 9:58,1,1,1175614,0,NULL,NULL,117124974,NULL,GXQ,ED000155268,NULL,NULL,NULL,
7790857,756,A00849,A TO Z IMMUNE TABLETS 1*16,NULL,1*16,ALKEM #M CARE#,215,145.76,145.76,0,NULL,1,0,NULL,ATOZIMMUNETABS116,NULL,14-04-2023 14:41,NULL,21-04-2023 06:50,1,1,1306440,0,NULL,NULL,118559972,NULL,,NULL,NULL,NULL,NULL,
3010321,756,J0002116,A TO Z IMMUNE TABLETS 16^S,NULL,16'S,ALKEM NEXA,216,145.76,146.44,0,NULL,1,0,NULL,ATOZIMMUNETABS,NULL,23-02-2021 04:26,NULL,05/05/2023 9:58,1,1,1285675,0,NULL,NULL,117108937,NULL,A1o,ED000159220,NULL,NULL,NULL,
3010322,756,J0002117,A TO Z NS + DROP # 15ML,NULL,15ML,ALKEM #M CARE#,70.5,43.02,47.8,0,NULL,1,0,NULL,ATOZNSDROP,NULL,23-02-2021 04:26,NULL,05/05/2023 9:58,1,1,1285651,0,NULL,NULL,117108943,NULL,BB,NULL,NULL,NULL,NULL,
1697138,756,J0002114,A TO Z NS + DROP 5% 15ML,NULL,15ML,ALKEM #M CARE#,64.5,46.07,105.09,0,NULL,1,0,NULL,ATOZNSDROP515ML,NULL,15-05-2020 07:11,NULL,02/02/2023 11:41,1,1,1262524,0,NULL,NULL,116924869,NULL,BB,ED000000178,NULL,NULL,NULL,
1691721,756,J0002118,A TO Z NS + DROPS 15ML,NULL,15ML,ALKEM NEXA,70.5,43.02,47.8,0,NULL,1,0,NULL,ATOZNSDROPS,NULL,15-05-2020 07:01,NULL,05/05/2023 9:58,1,1,1175347,0,NULL,NULL,117125056,NULL,A1o,ED000000178,NULL,NULL,NULL,
7601353,756,J0042061,A TO Z NS + TABLETS 1*15,NULL,1*15,ALKEM #M CARE#,141,95.59,95.59,0,NULL,1,0,NULL,ATOZNSTAB,NULL,03/04/2023 12:55,NULL,05/05/2023 9:58,1,1,1305547,0,NULL,NULL,118228594,NULL,,ED000170187,NULL,NULL,NULL,
5767969,756,J0040231,A TO Z NS + TABLETS 15S,NULL,15S,ALKEM NEXA,125,86.03,95.59,0,NULL,1,0,NULL,ATOZNSTAB,NULL,05/08/2022 9:42,NULL,05/05/2023 9:58,1,1,1299838,0,NULL,NULL,116929609,NULL,A1o,ED000170187,NULL,NULL,NULL,
2959649,756,J0002121,A TO Z NS + TABLETS 15T,NULL,15T,ALKEM #M CARE#,141,95.59,95.59,0,NULL,1,0,NULL,ATOZNSTAB,NULL,02/02/2021 7:31,NULL,05/05/2023 9:58,1,1,1284976,0,NULL,NULL,116923959,NULL,BB,ED000170187,NULL,NULL,NULL,
1686621,756,J0002122,A TO Z NS + TABLETS NEW 15.S,NULL,"15,S",ALKEM NEXA,141,86.03,95.59,0,NULL,1,0,NULL,ATOZNSTABNEW15S,NULL,15-05-2020 06:54,NULL,26-03-2023 19:59,1,1,1175349,0,NULL,NULL,116926423,NULL,A1o,ED000170187,NULL,NULL,NULL
3010323,756,J0002119,A TO Z NS SYRUP # 200ML,NULL,200ML,ALKEM #M CARE#,176,119.32,119.32,0,NULL,1,0,NULL,ATOZNSSYP,NULL,23-02-2021 04:26,NULL,05/05/2023 9:58,1,1,1285653,0,NULL,NULL,116923881,NULL,BB,ED000000180,NULL,NULL,NULL,
