,Unnamed: 0.1,Unnamed: 0,Product_Desc,First_part,Type,Type_2
0,2601,2601,ASTAR P TABLETS 1*10,ASTARP,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
1,2601,2601,ASTAR P TABLETS 1*10,ASTARP,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
2,2,2,A TO Z GOLD CAPSULES NS 15CAPSULES,ATOZGOLD,CAPSULES, STRIP OF 15 CAPSULES
3,3,3,A TO Z GOLD CAPSULES 15^S,ATOZGOLD,STRIP OF 15 CAPSULES, STRIP OF 15 CAPSULES
4,4,4,A TO Z IMMUNE TABLETS 1*16,ATOZIMMUNE,STRIP OF 16 TABLETS, STRIP OF 16 TABLETS
5,5,5,A TO Z IMMUNE TABLETS 16^S,ATOZIMMUNE,TABLETS STRIP OF 16, STRIP OF 16 TABLETS
6,6,6,A TO Z NS + DROP # 15ML,ATOZNS+,DROP # 15ML, BOTTLE OF 200ML SYRUP
7,7,7,A TO Z NS + DROP 5% 15ML,ATOZNS+,DROP 5% 15ML, BOTTLE OF 200ML SYRUP
8,8,8,A TO Z NS + DROPS 15ML,ATOZNS+,DROPS 15ML, BOTTLE OF 200ML SYRUP
9,9,9,A TO Z NS + TABLETS 1*15,ATOZNS+,TABLETS 1*15, BOTTLE OF 200ML SYRUP
10,10,10,A TO Z NS + TABLETS 15S,ATOZNS+,STRIP OF 15 TABLETS, BOTTLE OF 200ML SYRUP
11,11,11,A TO Z NS + TABLETS 15T,ATOZNS+,STRIP OF 15 TABLETS, BOTTLE OF 200ML SYRUP
12,12,12,A TO Z NS + TABLETS NEW 15.S,ATOZNS+,TABLETS NEW 15.S, BOTTLE OF 200ML SYRUP
13,13,13,A TO Z NS SYRUP # 200ML,ATOZNS,SYRUP # 200ML, BOTTLE OF 200ML SYRUP
14,14,14,A TO Z NS SYRUP(MANGO) 200ML,ATOZNS,SYRUP(MANGO) 200ML, BOTTLE OF 200ML SYRUP
15,6,6,A TO Z NS + DROP # 15ML,ATOZNS+,DROP # 15ML, BOTTLE OF 200ML SYRUP
16,7,7,A TO Z NS + DROP 5% 15ML,ATOZNS+,DROP 5% 15ML, BOTTLE OF 200ML SYRUP
17,8,8,A TO Z NS + DROPS 15ML,ATOZNS+,DROPS 15ML, BOTTLE OF 200ML SYRUP
18,9,9,A TO Z NS + TABLETS 1*15,ATOZNS+,TABLETS 1*15, BOTTLE OF 200ML SYRUP
19,10,10,A TO Z NS + TABLETS 15S,ATOZNS+,STRIP OF 15 TABLETS, BOTTLE OF 200ML SYRUP
20,11,11,A TO Z NS + TABLETS 15T,ATOZNS+,STRIP OF 15 TABLETS, BOTTLE OF 200ML SYRUP
21,12,12,A TO Z NS + TABLETS NEW 15.S,ATOZNS+,TABLETS NEW 15.S, BOTTLE OF 200ML SYRUP
22,13,13,A TO Z NS SYRUP # 200ML,ATOZNS,SYRUP # 200ML, BOTTLE OF 200ML SYRUP
23,14,14,A TO Z NS SYRUP(MANGO) 200ML,ATOZNS,SYRUP(MANGO) 200ML, BOTTLE OF 200ML SYRUP
24,6,6,A TO Z NS + DROP # 15ML,ATOZNS+,DROP # 15ML, STRIP OF 15 TABLETS
25,7,7,A TO Z NS + DROP 5% 15ML,ATOZNS+,DROP 5% 15ML, STRIP OF 15 TABLETS
26,8,8,A TO Z NS + DROPS 15ML,ATOZNS+,DROPS 15ML, STRIP OF 15 TABLETS
27,9,9,A TO Z NS + TABLETS 1*15,ATOZNS+,TABLETS 1*15, STRIP OF 15 TABLETS
28,10,10,A TO Z NS + TABLETS 15S,ATOZNS+,STRIP OF 15 TABLETS, STRIP OF 15 TABLETS
29,11,11,A TO Z NS + TABLETS 15T,ATOZNS+,STRIP OF 15 TABLETS, STRIP OF 15 TABLETS
30,12,12,A TO Z NS + TABLETS NEW 15.S,ATOZNS+,TABLETS NEW 15.S, STRIP OF 15 TABLETS
31,13,13,A TO Z NS SYRUP # 200ML,ATOZNS,SYRUP # 200ML, STRIP OF 15 TABLETS
32,14,14,A TO Z NS SYRUP(MANGO) 200ML,ATOZNS,SYRUP(MANGO) 200ML, STRIP OF 15 TABLETS
33,470,470,ACUTRET 10 MG CAPSULES 10CAPSULES,ACUTRET10MG,CAPSULES, STRIP OF 10 CAPSULES
34,471,471,ACUTRET 10 MG CAPSULES 10^S,ACUTRET10MG,STRIP OF 10 CAPSULES, STRIP OF 10 CAPSULES
35,472,472,ACUTRET 10 MG CAPSULES(I) 10^S,ACUTRET10MG,CAPSULES(I) STRIP OF 10, STRIP OF 10 CAPSULES
36,18,18,AACTARIL SOAP 75GM,AACTARIL,SOAP 75GM, PACK OF 75 G SOAP
37,20,20,AB PHYLLINE N TABLETS 10^S,ABPHYLLINEN,STRIP OF 10 TABLETS, BOTTLE OF 100 ML SYRUP
38,22,22,AB PHYLLINE SYRUP 100ML,ABPHYLLINE,SYRUP 100ML, BOTTLE OF 100 ML SYRUP
39,23,23,AB PHYLLINE TABLETS 10^S,ABPHYLLINE,STRIP OF 10 TABLETS, BOTTLE OF 100 ML SYRUP
40,20,20,AB PHYLLINE N TABLETS 10^S,ABPHYLLINEN,STRIP OF 10 TABLETS, STRIP OF 10 CAPSULES
41,22,22,AB PHYLLINE SYRUP 100ML,ABPHYLLINE,SYRUP 100ML, STRIP OF 10 CAPSULES
42,23,23,AB PHYLLINE TABLETS 10^S,ABPHYLLINE,STRIP OF 10 TABLETS, STRIP OF 10 CAPSULES
43,20,20,AB PHYLLINE N TABLETS 10^S,ABPHYLLINEN,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
44,22,22,AB PHYLLINE SYRUP 100ML,ABPHYLLINE,SYRUP 100ML, STRIP OF 10 TABLETS
45,23,23,AB PHYLLINE TABLETS 10^S,ABPHYLLINE,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
46,48,48,ABEL 40 TABLETS 10,ABEL40,TABLETS 10, STRIP OF 10 TABLETS
47,49,49,ABEL 80 TABLETS 1*10,ABEL80,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
48,50,50,ABEL CT  TABLETS 1*10,ABELCT,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
49,56,56,ABETANEURON -PLUS TABLETS 10^S,ABETANEURON-PLUS,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
50,54,54,ABETANEURON LC TABLETS 10^S,ABETANEURONLC,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
51,59,59,ABETCOLA TABLETS 10^S,ABETCOLA,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
52,60,60,ABEVIA 100 CAPSULES 10C,ABEVIA100,STRIP OF 10 CAPSULESC, STRIP OF 10 CAPSULES
53,61,61,ABEVIA 200 SR TABLETS 10T,ABEVIA200SR,TABLETS 10T, STRIP OF 10 TABLETS
54,62,62,ABEVIA N TABLETS 10^S,ABEVIAN,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
55,63,63,AB-FLO CAPSULES 10T,AB-FLO,STRIP OF 10 CAPSULEST, STRIP OF 10 CAPSULES
56,64,64,AB-FLO CAPSULES 1*10,AB-FLO,STRIP OF 10 CAPSULES, STRIP OF 10 CAPSULES
57,66,66,AB-FLO SR TABLETS 1*10,AB-FLOSR,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
58,67,67,AB-FLO-N TABLETS 10^S,AB-FLO-N,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
59,68,68,AB-FLO-N TABLETS 1*10,AB-FLO-N,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
60,72,72,ABIWAYS TABLETS 15T,ABIWAYS,STRIP OF 15 TABLETS, STRIP OF 10 TABLETS
61,72,72,ABIWAYS TABLETS 15T,ABIWAYS,STRIP OF 15 TABLETS, STRIP OF 15 TABLETS
62,73,73,ABLUNG 100MG CAPSULES 10S,ABLUNG100MG,STRIP OF 10 CAPSULES, STRIP OF 10 CAPSULES
63,74,74,ABLUNG SR 200MG TABLETS 10^S,ABLUNGSR200MG,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
64,76,76,ABOCAL 500 TABLETS 15^S,ABOCAL500,STRIP OF 15 TABLETS, STRIP OF 15 TABLETS
65,82,82,ABSENZ SYRUP 100ML,ABSENZ,SYRUP 100ML, BOTTLE OF 100 ML SYRUP
66,87,87,ABSOLUT CAPSULES # 10S,ABSOLUT,CAPSULES # 10S, STRIP OF 10 CAPSULES
67,88,88,ABSOLUT CAPSULES 10^S,ABSOLUT,STRIP OF 10 CAPSULES, STRIP OF 10 CAPSULES
68,98,98,ABSOLUT+  TABLETS 10^S,ABSOLUT+,STRIP OF 10 TABLETS, STRIP OF 10 CAPSULES
69,99,99,ABSOLUT+ TABLETS 10^S,ABSOLUT+,STRIP OF 10 TABLETS, STRIP OF 10 CAPSULES
70,84,84,ABSOLUT 369 CAPSULES 10^S,ABSOLUT369,STRIP OF 10 CAPSULES, STRIP OF 10 CAPSULES
71,85,85,ABSOLUT 3G CAPSULES 10.S,ABSOLUT3G,STRIP OF 10 CAPSULES.S, STRIP OF 10 CAPSULES
72,86,86,ABSOLUT 3G CAPSULES 10^S,ABSOLUT3G,STRIP OF 10 CAPSULES, STRIP OF 10 CAPSULES
73,89,89,ABSOLUT DM 10,ABSOLUTDM10,, STRIP OF 15 CAPSULES
74,91,91,ABSOLUT DM CAPSULES        <3X10> 10^S,ABSOLUTDM,CAPSULES        <3X10> STRIP OF 10, STRIP OF 15 CAPSULES
75,92,92,ABSOLUT DM INJECTION. 1ML/IV,ABSOLUTDM,INJECTION. 1ML/IV, STRIP OF 15 CAPSULES
