ID,ASIN,item_name
,B082VT3LNB,(7-LA) - Bottle of 200ml Suspension
,B082VT9YMN,(Xmet-Trio) 500/0.3/2 - Strip of 10 Tablets
,B09XJB75QZ,0.9% Sodium Chloride - Pack of 500ml Injection
,B0BNC3T11Q,0-GAS - Strip of 10 Capsules
,B0BQM57CMG,1 Al - Bottle of 60ml Syrup
,B0BLBY4QKB,1 AL 10MG - Strip of 10 Tablets
,B0BQ6ZWPBJ,1 AL 10MG - Strip of 10 Tablets
,B0BQ6Z2GZJ,1 Al M - Strip of 10 Tablets
,B0BNC37L42,10 Li M 500 SR - Strip of 10 Tablets
,B0842QQK82,1-Al - Strip of 10 Tablets
,B088HJF7NK,1-Al 10 - Strip of 10 Tablets
,B08X4GDGZN,1AL 10mg - Strip of 15 Tablets
,B08WSZZZDB,1-Al 2.5mg/5ml - Bottle of 30ml Syrup
,B0BNC4258N,1-Al M - Bottle of 60ml Syrup
,B09SQK6KQM,2 B12 - Strip of 15 Tablets
,B0BLBRR4H8,2Azole - Tube of 20g Cream
,B084J1Q17Z,2Baconil 2mg Icy Mint - Strip of 10 Tablets
,B084J1HC3F,2Baconil 4mg Icy Mint - Strip of 10 Tablets
,B08CS41XFW,2Baconil TTS10 7mg/24h - Pack of 7 Nicotine Transdermal Patches
,B08BXFDMY2,2Baconil TTS20 14mg/24h - Pack of 7 Nicotine Transdermal Patches
,B08BXDQ9TN,2Baconil TTS30 21mg/24h - Pack of 7 Nicotine Transdermal Patches
,B0BLBSJ66C,2Sitol - Strip of 10 Capsules
,B0BQ6Z47P2,2Sitol - Strip of 10 Capsules
,B087D36QYB,3 Cef Novo - Vial of 1000/500mg Injection
,B0BLBQLVQR,3 D Plus - Tube of 10g Cream
,B0BQ6XG65N,3 D Plus - Tube of 10g Cream
,B0BLBQCNNZ,3 KAT 60MG - Strip of 10 Tablets
,B0BQM33SFY,3 Kat 60mg - Strip of 10 Tablets
,B0BNC36864,3 Tone Tc - Bottle of 200ml Syrup
,B0BQ6X4XKP,3 Vc - Strip of 3 Suppositories
,B09ZPM1Q71,36 D 60K Softgel - Strip of 4 Capsules
,B0BNC34RND,360 Block SPF 50 plus - Tube of 50g Sunscreen Gel
,B09TKT2VSC,360° Block - Tube of 50 gm Sunscreen Gel (SPF 50+)
,B0BQ6XGZ6H,3-D - Tube of 10g Cream
,B09TLFZZMS,3D Forte - Bottle of 15 ml Drops
,B09TLDVSVT,3D FORTE 600IU - Bottle of 150 ml Syrup
