,ID,ASIN,item_name,ED_MDM_Product_Code
0,,B09TLGFJCV,A & D - Strip of 10 Capsules,ED000157592
1,,B0BB6DG4QD,A Bec L - Bottle of 30 Tablets,ED000148859
2,,B0BB6KKQDS,A BEC TABLET,ED000000174
3,,B08BXDM8KL,A Doxid - Strip of 10 Tablets,ED000155268
4,,B0947JD4BX,A Doxid L - Strip of 10 Capsules,
5,,B0BLBSM7XZ,A K T FD - Strip of 3 Tablets,ED000159220
6,,B0BQ6YPL2C,A K T FD - Strip of 3 Tablets,
7,,B0BLBR4XPD,A Star-P - Strip of 10 Tablets,
8,,B0BQ6XYKSR,A Star-P - Strip of 10 Tablets,
9,,B09ZD2FXGD,A To Z - Bottle of 100ml Syrup,
10,,B08C3F7T8G,A To Z - Strip of 15`Stablets,
11,,B09TLGJM7X,A To Z Gold - Strip of 15 Capsules,
12,,B09DDC2HS3,A To Z Immune - Strip of 16 Tablets,
13,,B09DDDCRPR,A To Z NS - Bottle of 200Ml Syrup,
14,,B0BQM4B3Y2,A To Z NS - Bottle of 200ml Syrup,
15,,B0895LV1VK,A To Z Ns - Strip of 15 Tablets,
16,,B09DQJ1DKZ,A to Z NS Mango - Bottle of 200ml Syrup,
17,,B085YP1C1J,A To Z NS Mango Flavour - Bottle of 200 ml Syrup,
18,,B087D2MZWJ,A To Z NS Strawberry Flavour - Bottle of 15 ml Drops,
19,,B087DG3X2S,A To Z Women - Blister Pack of 15 Tablets,
20,,B0BQM2S7MY,A TRET 10mg - Strip of 10 Capsules,
21,,B09TLGD1QQ,A Tret 25 mg - Strip of 10 Capsules,
22,,B0BB6JRDSM,A2 Lite Skin Lightening and Brightening - Tube of 20g Cream,
23,,B0BQM4NK93,A2d 25mg - Strip of 10 Capsules,
24,,B099WW3TVM,Aactaril - Pack of 75 G Soap,
25,,B08YS33P9X,AAMIN 5 MG - Strip of 10 Tablets,
26,,B08WBNL3PV,Aamin-A 50mg/5mg - Strip of 10 Tablets,
27,,B0BQM4CVSG,Aariv 10mg - Strip of 10 Tablets,
28,,B08K9SKZVZ,Ab Flo N - Strip of 10 Tablets,
29,,B09TLH3PF3,AB GATES - Strip of 10 Tablets,ED000177516
30,,B0851TFMZG,AB Phylline - Bottle of 100 ml Syrup,
31,,B0842Q6VJ8,AB Phylline - Strip of 10 Capsules,
32,,B084N2RGRM,AB Phylline N - Strip of 10 Tablets,
33,,B08438QR4G,AB Phylline SR 200 - Strip of 10 Tablets,ED000184457
34,,B09SQLMNVJ,ABALAM - Bottle of 30 Tablets,ED000184458
35,,B08WJKYDGY,Abamune 300 Mg - Strip of 30 Tablets,ED000184459
36,,B09Q5FWV86,AbChek - Covid-19 Antigen Home Testing Kit,
37,,B09Q95Z1HL,AbChek - Covid-19 Antigen Home Testing Kit (Pack of 2),
38,,B09Q96FXNV,AbChek - Covid-19 Antigen Home Testing Kit (Pack of 5),ED000184455
39,,B0BQ72Q836,Abclopid A 75 mg - Strip of 10 Tablets,
40,,B0BLCBSX6Q,Abclopid A 75mg - Strip of 10 Tablets,ED000184358
41,,B08YS36JS6,ABD 200 MG /5ML - Bottle of 10 ML Suspension,
42,,B09LVTKKSL,ABD 400MG - Strip of 10 Tablets,ED000174762
43,,B0BQM4MNQY,Abd Plus - Bottle of 10ml Syrup,ED000174769
44,,B09TLFG43T,ABD PLUS - Strip of 1 Tablets,
45,,B0BLBLNZJ6,Abdifer - Bottle of 200ml Syrup,ED000184251
46,,B09TLGVF3C,Abdifer - Strip of 10 Capsules,
47,,B0BLCBFQCY,Abdifer-XT - Strip of 10 Tablets,ED000157242
48,,B0BQ71HNXV,Abdominal Support Premium-S (DC),ED000000292
49,,B09TLJRM9D,Abdowell - Sachet of 1 gm Sachet,ED000000293
50,,B084HZRKLD,Abel 40 - Strip of 10 Tablets,ED000000294
51,,B084J1996M,Abel 80 - Strip of 10 Tablets,
52,,B08K9VKX7D,Abel CT - Strip of 10 Tablets,ED000175086
53,,B09TLH4W97,ABETANEURON PLUS - Strip of 10 Tablets,
54,,B09TLGJMB1,ABETANEURON-D3 SOFTGEL - Strip of 10 Capsules,ED000157244
55,,B09TLFYCK9,ABETANEURON-LC - Strip of 10 Tablets,ED000157629
56,,B09TLFWB43,ABETANEURON-OD SOFTGEL - Strip of 10 Capsules,ED000157631
57,,B09TLGM3P9,Abetcola - Strip of 10 Tablets,
58,,B0BNC3D39F,Abevia-100 - Strip of 10 Capsules,ED000169824
59,,B09TLG81X6,ABEVIA-200 SR - Strip of 10 Tablets,ED000110012
60,,B0BLBTYPNJ,Abevia-N - Strip of 10 Tablets,ED000161085
61,,B085LWHH4H,AB-Flo - Strip of 10 Capsules,ED000162633
62,,B085LWFMSY,Ab-Flo SR - Strip of 10 Tablets,ED000165328
63,,B085LWV7D2,AB-Flo-N - Strip of 10 Tablets,ED000000257
64,,B09DDFNFLV,Abgel - Box of Two Pieces of 80X50X10Mm Absorbable Gelatin Sponge,ED000000257
65,,B09TLGBZCP,Abhayrab Vaccine - Vial of 1 Injection,ED000000258
66,,B09DDJ8GMX,Abhayrab-Pf - Vial of 0.5Ml Vaccine,
67,,B09TLFHY3T,ABHAYRIG - Vial of 1500 I.U/5ML Injection,ED000000260
68,,B0BB6JWYJ1,Abirapro 250 mg Tablet 120's,ED000000260
69,,B0895BNQ4R,Abitate 250mg - Bottle of 120 Tablets,ED000000313
70,,B0895CTJNH,Abitate U 250mg - Bottle of 120 Tablets,ED000000312
71,,B08437YRY5,Abiways - Strip of 10 Tablets,ED000163713
72,,B0BQ6ZKJF6,Abiways - Strip of 15 Tablets,ED000170169
73,,B0BNC3S5HH,Abixim 200mg - Strip of 10 Tablets,
74,,B09TLGWD9F,ABlife-100 - Strip of 10 Capsules,
75,,B0BQM2P4YB,Ablife-200 - Strip of 10 Tablets,
76,,B089QYV9J9,Ablu 50mg - Strip of 10 Tablets,ED000000358
77,,B09TLJRMMD,ABLUNG 100MG - Strip of 10 Capsules,ED000144626
78,,B09TLGBDWR,ABLUNG SR 200MG - Strip of 10 Tablets,
79,,B0BQ6WMBD3,Abmetop 50 Xl - Strip of 10 Tablets,
80,,B0BNC3CJ6Q,Ab-Next - Tube of 20g Gel,ED000144717
81,,B09DDF1DT4,Abnol 50 - Strip of 14 Tablets,ED000174779
82,,B08G8LZ11X,Abocal 500 - Strip of 15 Tablets,ED000138198
83,,B09TLJ4LYH,ABOLISH M - Strip of 10 Tablets,
84,,B0BQ6Y8TM1,Abomet 1000 SR - Strip of 15 Tablets,ED000000374
85,,B09TLHSDJC,Aborise - Strip of 10 Tablets,ED000000375
86,,B0BR39HHR3,Abound - Strip of 10 Tablets,ED000000375
87,,B087DG694D,Abound - Strip of 30 Tablets,ED000061484
88,,B087DG694J,Abound Plus - Strip of 10 Tablets,ED000061484
89,,B09LVTMJ9Y,Abpress - Bottle of 5 ml Eye Drops,ED000000378
90,,B0BNC2KPWW,ABPress PF - Bottle of 10ml Eye Drops,ED000168450
91,,B0BQ6WKYPG,Ab-Ramprel 5 - Strip of 10 Tablets,ED000000378
92,,B0BNC2CQZH,Abrophyll 200 - Strip of 10 Tablets,ED000000376
93,,B09TLFHY4Y,Abrophyll DM - Strip of 10 Tablets,ED000160976
94,,B09TLG65BW,Abrozac - Strip of 10 Tablets,ED000160976
95,,B0BQ6YS6R9,Ab-Rozu 5Mg - Strip of 10 Tablets,ED000000380
96,,B0BPTC1HSN,Ab-Rozu F 10 - Strip of 10 Tablets,ED000000381
97,,B0BLCH7GK2,AB-Rozu Gold 10 - Strip of 10 Capsules,ED000000381
98,,B0BQ6XQBMQ,AB-Rozu Gold 10 - Strip of 10 Capsules,ED000157564
99,,B0BLC6K56Y,AB-Rozu Gold 20 - Strip of 10 Capsules,
100,,B0BQ6VDQ5W,AB-Rozu Gold 20 - Strip of 10 Capsules,
101,,B084PVJZKY,Absenz - Bottle of 100 ml Syrup,ED000140973
102,,B0BNC3DCLF,Absobest - Strip of 10 Tablets,
103,,B0BQM4JHYD,Absolut - Strip of 10 Capsules,
104,,B09LVT5DGS,Absolut 3.6.9 - Strip of 10 Capsules,ED000145050
105,,B087D2F5Q3,Absolut 3G - Strip of 10 Capsules,ED000140974
106,,B0BQ71RN84,Absolut DM - Strip of 15 Capsules,ED000140974
107,,B09TLGMT13,ABSOLUT GOLD - Strip of 10 Capsules,
108,,B09TLGBXZC,ABSOLUT PLUS - Strip of 10 Capsules,ED000160181
109,,B087D3WDWJ,Absolut Woman - Strip of 10 Capsules,ED000000403
110,,B088GF8ZVK,Absolut-DM - Strip of 10 Capsules,ED000000403
111,,B0BNC39H3M,Absomega-LC - Strip of 1 Tablets,ED000000399
112,,B0BNC2BG2T,Absotrend-Q10 - Strip of 10 Tablets,ED000000400
113,,B09TLH77JQ,ABSOVIT - Strip of 10 Tablets,ED000000405
114,,B0BNBZWNRD,Absovit CZ Orange Flavour Chewable - Bottle of 30 Tablets,ED000000406
115,,B0BQ6YL413,Abtelmi 80Mg - Strip of 10 Tablets,ED000183182
116,,B0BR38Y28H,Abtelmi-Am 40/5Mg - Strip of 10 Tablets,ED000000404
117,,B0BLC1JSXV,Abtelmi-AMH 40/5/12.5mg - Strip of 10 Tablets,ED000000422
118,,B0BQ6ZVCF8,Abtelmi-AMH 40/5/12.5mg - Strip of 10 Tablets,ED000000423
119,,B0BQ6ZN7G2,Abtelmi-Mt 50Mg - Strip of 10 Tablets,
120,,B0BQ6XS8DG,Abtorsmed 10 - Strip of 10 Tablets,
121,,B09DDGH3VJ,Abvida 50Mg - Strip of 15 Tablets,ED000000425
122,,B09TLJRMBL,Abvida M 50/1000 - Strip of 15 Tablets,
123,,B09TLFC37V,ABVIDA SR 100 - Strip of 10 Tablets,ED000148862
124,,B0BQ6WSM18,Abvida SR 100 - Strip of 15 Tablets,ED000159730
125,,B09ZPPT28R,Abvida-M 50/500MG - Strip of 15 Tablets,ED000000430
126,,B0BR38TZLF,Abvida-M 50/850mg - Strip of 15 Tablets,ED000000431
127,,B0BLC2VRW3,Abvoge Gm 2/0.2/500mg - Strip of 10 Tablets,ED000000439
128,,B0BQ6ZHLWF,Abvoge Gm 2/0.2/500mg - Strip of 10 Tablets,ED000121558
129,,B08437YRY6,ABZ - Bottle of 10 ml Oral Suspension,ED000121559
130,,B08437RF83,ABZ - Strip of 1 Tablet,
131,,B0769Y53D7,Abzorb - Bottle of 100gm Anti Fungal Powder,ED000173260
132,,B099WVK7GZ,Abzorb - Bottle of 100gm Anti Fungal Powder,
133,,B084PRG6R8,Abzorb - Bottle of 50gm Anti Fungal Powder,ED000172728
134,,B09SQJP8HN,ABZORB 1% W/W - Pack of 100g Soap,
135,,B084PQM7NM,Acamprol - Strip of 6 Tablets,ED000000455
136,,B08345S5L8,Acamptas 333 - Strip of 6 Tablets,ED000000456
137,,B0892TR579,Acarboz 50mg - Strip of 10 Tablets,ED000000457
138,,B0BQM455R3,Acarboz-25 - Strip of 10 Tablets,ED000000458
139,,B09TLHZT56,ACB PLUS - Strip of 10 Tablets,ED000000454
140,,B09TLG7QP8,ACCARE - Tube of 15 gm Gel,ED000000454
141,,B0BNC34FSC,ACCECLOWOC MR - Strip of 10 Tablets,ED000000455
142,,B087DF3Z78,Acceclowoc P 100Mg/500Mg - Strip of 10 Tablets,ED000116439
143,,B08WH1YJ7S,Acceclowoc-MR - Strip of 10 Tablets,ED000167108
144,,B08WGWVKYD,Acceclowoc-SP - Strip of 10 Tablets,
145,,B09TKV55Z6,Accemol - Strip of 10 Tablets,
146,,B09TLF69W4,ACCENTRIX 10MG/ML - Vial of 1 Injection,
147,,B0BNC24DLZ,Accept P - Strip of 10 Tablets,ED000116470
148,,B09TLGWDHY,ACCEPT SP - Strip of 10 Tablets,ED000116452
149,,B09TLF1NWN,ACCEPT TH - Strip of 10 Tablets,ED000110024
150,,B0BQM72399,Acceptm - Tube of 30g Gel,
151,,B0BNC3F55H,Accewell-SP - Strip of 10 Tablets,ED000000466
152,,B09TLHJZ8Q,ACCIP - Strip of 10 Tablets,ED000000471
153,,B0B56J71BL,Accu Chek Safe T Pro Glucometer Lancets,ED000181083
154,,B0B1HYFC66,"Accu Chek Softclix Lancet, Pack of 25 (Multicolor)",ED000169225
155,,B0B1HYZ94J,Accu Chek Softclix Lancing Device (Multicolor),ED000169226
156,,B09DDBZSK4,Accu-Chek Active - Pack of 2X50 Test Strips,
157,,B084BDV6V5,Accu-Chek Active - Pack of 50 Strips,
158,,B0B692WPCW,Accu-Chek Active 100 (50x2) Strip with Accu-Chek Softlix Lancet- 25 Pack,ED000184483
159,,B0B56F97KG,Accu-Chek Active 100 (50x2) Test Strips + 4 Pack of Softclix Lancet 25,ED000000490
160,,B0B4S736NQ,"Accu-Chek Active 100 Strips, (50x2) (Multicolor)",
161,,B0B56GYQBC,Accu-Chek Active 2 Packs of 100 (50x2) Test Strips + 4 Pack of Softclix Lancet 25,
162,,B0B56KY4CD,Accu-Chek Active 50 Test Strips (Pack Of 2),ED000000500
163,,B0B56G6WZV,Accu-Chek Active 50 Test Strips + 2 packs of lancet 25,ED000000500
164,,B0B56JVVJS,Accu-Chek Active Blood Glucose Glucometer Kit with Vial of 10 Strips + Accu-Chek Active 50 Test Strips,ED000000505
165,,B0B4S3KFTW,"Accu-Chek Active Blood Glucose Glucometer Kit with Vial of 10 Strips, 10 Lancets and a Lancing device FREE",ED000000508
166,,B0B1F5FZNG,"Accu-Chek Active Strips, Pack of 10 (Multicolor)",ED000000508
167,,B0B1HW987P,"Accu-Chek Active Strips, Pack of 25 (Multicolor)",
168,,B0B4S8LNDN,"Accu-Chek Active Strips, Pack of 50 (Multicolor)",ED000000527
169,,B0B4S5TS9F,Accu-Chek Aviva 50 Test Strips (White),ED000000530
170,,B0B56JJGJJ,Accu-Chek Aviva 50 Test Strips (White) - Pack of 2,ED000119468
171,,B0B4S7QLRY,"Accu-Chek Guide Blood Glucose Glucometer Kit with Vial of 10 Strips, 10 Lancets and a Lancing device FREE",ED000000544
172,,B0B56FVLW5,Accu-Chek Guide Meter (Bluetooth) with 10 strips + Accu-Chek Guide 50 Strips,ED000000546
173,,B0B4S7S5GL,Accu-Chek Guide Strips Pack of 50 (White),
174,,B0B56HG317,Accu-Chek Guide Test Strips (2 Packs of 50 Strips),
175,,B09DDFYV1H,Accu-Chek Instant - Pack of 50 Test Strips,
176,,B0B56G5L49,Accu-Chek Instant 50 Test Strips + 2 Packs of Softclix Lancet 25,
